iter	RMSE
0	867.1491079
1	832.2853018
2	801.5019948
3	772.30506
4	746.3488947
5	723.7665854
6	703.8063369
7	685.3505825
8	668.973543
9	654.8213128
10	641.6301536
11	629.6148701
12	618.6018519
13	608.5404933
14	600.3419128
15	592.830853
16	586.2457466
17	579.9744444
18	574.0891617
19	569.2583011
20	564.6253255
21	560.4122112
22	556.654715
23	552.8771703
24	549.6889049
25	547.1600749
26	544.1999657
27	541.476146
28	539.0647166
29	536.8795822
30	534.6923034
31	532.8565567
32	531.2351183
33	530.0333042
34	528.3017294
35	526.9362293
36	525.3951453
37	524.6369879
38	523.7482648
39	522.9284562
40	521.8100336
41	521.2658582
42	521.0800714
43	519.6900676
44	518.4642165
45	517.6261517
46	516.4164514
47	515.8131578
48	515.2875008
49	514.5303958
50	514.0726182
51	513.1313519
52	512.8110943
53	511.6783061
54	511.2886857
55	510.9593451
56	510.32879
57	509.964583
58	509.4242288
59	509.1758406
60	508.8049981
61	508.0926962
62	507.4322368
63	507.2046977
64	506.6481463
65	506.4335993
66	506.228212
67	506.0315504
68	505.4969878
69	505.3092507
70	504.9310452
71	504.6223152
72	503.2696237
73	503.0974186
74	502.3537397
75	502.1910206
76	501.4236345
77	501.2129118
78	500.6595002
79	500.045778
80	499.1969309
81	498.4706021
82	497.847866
83	497.6486084
84	497.1084423
85	496.5327165
86	495.8332081
87	495.5001822
88	495.3609961
89	494.7173336
90	494.5136664
91	494.42834
92	494.3043262
93	494.1229553
94	493.5630383
95	493.4220193
96	493.2949514
97	492.5444609
98	491.8981288
99	491.5126139
100	491.1806134
101	491.0540252
102	490.3801384
103	489.7590859
104	489.732179
105	489.4451144
106	489.3798157
107	488.7434358
108	488.5024863
109	487.9804222
110	487.8740662
111	487.8502859
112	487.838838
113	487.057675
114	486.854166
115	486.3608514
116	486.3236286
117	485.9181782
118	485.7255829
119	485.3748377
120	485.2124769
121	484.9444468
122	484.345198
123	484.0192067
124	483.8437787
125	483.6310037
126	483.4920518
127	482.9437181
128	482.8758996
129	482.595192
130	482.3697844
131	482.1590212
132	481.6265035
133	481.2050646
134	480.8389579
135	480.6025676
136	480.180402
137	480.0206827
138	479.6937549
139	479.4807363
140	479.0345304
141	478.3291374
142	477.7386752
143	477.404554
144	476.8602117
145	476.6879134
146	476.4511609
147	476.1343754
148	475.7191257
149	475.3682681
150	475.1300576
151	474.7461314
152	474.1576888
153	474.0895496
154	474.0156697
155	473.891469
156	473.5328529
157	473.3530641
158	472.9937585
159	472.6708976
160	472.3163784
161	471.9737936
162	471.3863467
163	471.0048328
164	470.8306947
165	470.2677862
166	469.9523132
167	469.4426587
168	469.1722976
169	468.888347
170	468.8455769
171	468.6493707
172	468.6083367
173	468.2894886
174	468.1137458
175	467.8786411
176	467.7306331
177	467.3216864
178	466.8466651
179	466.3503654
180	466.0423226
181	465.5616966
182	465.4574392
183	465.251625
184	464.7909213
185	464.537618
186	464.1069153
187	463.897067
188	463.4887365
189	463.4724698
190	463.2692431
191	463.1149787
192	463.0002954
193	462.9188533
194	462.8464817
195	462.6526921
196	462.4021257
197	462.0060032
198	461.9917777
199	461.8571645
200	461.6690414
201	461.3053626
202	460.9390101
203	460.7104282
204	460.581971
205	460.1037919
206	459.8511605
207	459.665403
208	459.3881936
209	459.0209909
210	458.7539509
211	458.5629336
212	458.202026
213	457.9860466
214	457.7067787
215	457.5971483
216	457.4803132
217	457.3098209
218	457.103446
219	456.9183081
220	456.7488446
221	456.6429234
222	456.6317344
223	456.5270906
224	456.4086139
225	456.083278
226	455.7944849
227	455.7853385
228	455.6906132
229	455.6819689
230	455.673807
231	455.3440484
232	455.0830224
233	454.936385
234	454.748605
235	454.583326
236	454.4793532
237	454.4478864
238	454.4178536
239	454.3891761
240	454.1838452
241	454.0915712
242	453.9162818
243	453.8886383
244	453.8622356
245	453.8218949
246	453.7055472
247	453.6814475
248	453.4252236
249	453.18407
250	452.9345823
251	452.9081802
252	452.8850451
253	452.473127
254	452.4713393
255	452.3878595
256	452.3667073
257	452.3464701
258	452.3175953
259	452.2985297
260	452.2946829
261	452.2765767
262	452.1130826
263	452.0383162
264	451.8121074
265	451.7864698
266	451.7024155
267	451.679089
268	451.6573139
269	451.6541909
270	451.5199271
271	451.2479448
272	451.1129892
273	450.8840698
274	450.6148422
275	450.3878498
276	450.222296
277	450.0881334
278	450.003932
279	449.6194946
280	449.5056594
281	449.1244573
282	449.0501496
283	448.8531608
284	448.8504982
285	448.7413066
286	448.5669204
287	448.4588347
288	448.3548093
289	448.3523122
290	448.2640018
291	448.2616331
292	448.0838975
293	447.9436453
294	447.826772
295	447.6316885
296	447.4017948
297	447.2915189
298	447.1503495
299	447.0258855
300	446.8292335
301	446.7492522
302	446.6470222
303	446.5570307
304	446.441909
305	446.3360774
306	446.145577
307	446.0565316
308	445.9108817
309	445.8201417
310	445.7532057
311	445.6193722
312	445.4544956
313	445.2889911
314	445.1917867
315	445.1196894
316	445.0014215
317	444.9249766
318	444.7648249
319	444.6688453
320	444.5827028
321	444.4019443
322	444.2734537
323	444.0409552
324	443.961513
325	443.8897576
326	443.7898974
327	443.6530727
328	443.6003488
329	443.5175642
330	443.4410949
331	443.3741074
332	443.2431303
333	443.1228912
334	443.0867955
335	442.9828643
336	442.8441124
337	442.7410786
338	442.6209347
339	442.5018973
340	442.4244671
341	442.3161407
342	442.2345792
343	442.1551539
344	442.089392
345	442.0265229
346	441.9916929
347	441.9301062
348	441.874607
349	441.8167262
350	441.4696302
351	441.3992971
352	441.327107
353	441.2256425
354	441.1484761
355	441.0235458
356	440.9052903
357	440.7474359
358	440.6314068
359	440.5371845
360	440.4546568
361	440.3846253
362	440.3206363
363	440.249114
364	440.1586474
365	440.0790815
366	440.0113256
367	439.9741347
368	439.8808299
369	439.6743563
370	439.5934538
371	439.5384304
372	439.4717927
373	439.4198009
374	439.3072362
375	439.2300446
376	439.1483524
377	439.0685026
378	438.9954037
379	438.919216
380	438.8695478
381	438.5899734
382	438.5488167
383	438.4820888
384	438.3845045
385	438.3357236
386	438.2825122
387	438.1199873
388	438.0808806
389	437.9369901
390	437.8903489
391	437.8266444
392	437.7693885
393	437.682548
394	437.6359489
395	437.5839141
396	437.5582016
397	437.4994202
398	437.434273
399	437.3322355
400	437.275379
401	437.2275399
402	437.0740749
403	437.0077773
404	436.9439556
405	436.8924947
406	436.832151
407	436.7422511
408	436.692253
409	436.5867406
410	436.5437734
411	436.508681
412	436.4542827
413	436.3968671
414	436.0762788
415	435.9793948
416	435.9213294
417	435.6804565
418	435.6206889
419	435.5179787
420	435.4741597
421	435.3954448
422	435.3563935
423	435.3023265
424	435.256753
425	435.2311287
426	435.1271851
427	435.0500044
428	434.9829621
429	434.6800236
430	434.6072771
431	434.5442406
432	434.4880119
433	434.3809565
434	434.3425785
435	434.2348611
436	434.1756393
437	434.0827881
438	434.032922
439	433.9851415
440	433.931753
441	433.8234482
442	433.7529409
443	433.7027899
444	433.6579256
445	433.6197632
446	433.5229082
447	433.4812418
448	433.3861624
449	433.2793032
450	433.2307157
451	433.1515508
452	433.0631335
453	432.983258
454	432.9272416
455	432.8088594
456	432.7725531
457	432.7489879
458	432.7032029
459	432.6439642
460	432.5568746
461	432.5252714
462	432.3836501
463	432.3151103
464	432.266557
465	432.1950569
466	432.1364378
467	431.8537652
468	431.8203313
469	431.7583145
470	431.731426
471	431.6758105
472	431.5899523
473	431.5470177
474	431.5093665
475	431.4632444
476	431.4023924
477	431.3857158
478	431.3489541
479	431.278701
480	431.2175855
481	431.0986034
482	431.0505964
483	431.0260147
484	430.9754228
485	430.9369546
486	430.8455814
487	430.7756752
488	430.6439308
489	430.6019962
490	430.5657873
491	430.5021302
492	430.4657539
493	430.3976766
494	430.3314066
495	430.3037906
496	430.2156916
497	430.1308787
498	430.0692084
499	430.0399752
500	430.0112108
501	429.9570028
502	429.9236494
503	429.8925213
504	429.8030869
505	429.7688447
506	429.7461209
507	429.681162
508	429.6405949
509	429.5899805
510	429.5496587
511	429.5045967
512	429.4463568
513	429.3976975
514	429.3803373
515	429.3410419
516	429.298263
517	429.2462528
518	429.1690054
519	429.1393838
520	429.1059341
521	429.0527536
522	428.9954215
523	428.9249513
524	428.8610803
525	428.8293088
526	428.8033698
527	428.7514109
528	428.7227377
529	428.6880042
530	428.6862459
531	428.6193047
532	428.5599196
533	428.478667
534	428.4060898
535	428.3466168
536	428.3177008
537	428.2834891
538	428.1172801
539	428.0656551
540	428.0216447
541	427.9965587
542	427.9687574
543	427.9041141
544	427.8772163
545	427.8207789
546	427.8006421
547	427.7655829
548	427.7173271
549	427.6926795
550	427.6722281
551	427.6271775
552	427.604225
553	427.5724483
554	427.5462276
555	427.5131706
556	427.4769524
557	427.4565517
558	427.4193653
559	427.3413482
560	427.2834482
561	427.2013586
562	427.1764768
563	427.1401701
564	427.1052564
565	427.0289401
566	427.0115941
567	426.9943423
568	426.9292173
569	426.8657795
570	426.825531
571	426.7865319
572	426.7588959
573	426.7377886
574	426.7178733
575	426.668531
576	426.6416786
577	426.6273729
578	426.6003599
579	426.5845992
580	426.5483588
581	426.5341993
582	426.523706
583	426.3792686
584	426.3687475
585	426.3464235
586	426.3346228
587	426.2343604
588	426.1974955
589	426.1057336
590	426.0681599
591	426.0484807
592	426.0260435
593	425.9755101
594	425.9393508
595	425.9069096
596	425.8691949
597	425.6848989
598	425.6237738
599	425.5837294
600	425.5655456
601	425.5214262
602	425.4724217
603	425.4470698
604	425.4182482
605	425.3507525
606	425.1598447
607	425.137794
608	425.1111254
609	425.0964719
610	425.0358147
611	424.9762961
612	424.9280832
613	424.9089823
614	424.9082336
615	424.8305465
616	424.7838197
617	424.7549776
618	424.7187012
619	424.6506263
620	424.6413138
621	424.6296664
622	424.5751885
623	424.5440306
624	424.5140767
625	424.4760699
626	424.3971632
627	424.3669478
628	424.3425668
629	424.291098
630	424.1933978
631	424.1745079
632	424.0657473
633	424.0393635
634	423.9967147
635	423.9367304
636	423.8729206
637	423.807221
638	423.6967155
639	423.6434205
640	423.5913654
641	423.5408578
642	423.4993562
643	423.4396917
644	423.4001663
645	423.3551046
646	423.327138
647	423.2761807
648	423.234357
649	423.1424387
650	423.1135192
651	423.0515891
652	423.0121153
653	422.9949192
654	422.9513325
655	422.9056666
656	422.8689921
657	422.6151524
658	422.5535903
659	422.4192958
660	422.3963631
661	422.1518753
662	421.8883877
663	421.8574617
664	421.8070949
665	421.7442604
666	421.6688461
667	421.5737125
668	421.5069732
669	421.4717681
670	421.3385897
671	421.277008
672	421.2269847
673	421.0096473
674	420.9795083
675	420.7719161
676	420.7214355
677	420.6476253
678	420.4058599
679	420.3865794
680	420.3485958
681	420.2944874
682	420.076927
683	420.0564208
684	419.9951686
685	419.9766538
686	419.8475447
687	419.6978694
688	419.6540931
689	419.6288268
690	419.5985502
691	419.5726524
692	419.5477403
693	419.5340025
694	419.4906318
695	419.4676303
696	419.3251811
697	419.2151649
698	419.1752873
699	418.9578763
700	418.7893676
701	418.7572958
702	418.7126867
703	418.6453283
704	418.4577315
705	418.4225655
706	418.3959036
707	418.2037962
708	418.1632161
709	418.1205227
710	418.0058368
711	417.9638341
712	417.9301243
713	417.8536521
714	417.7720178
715	417.7374959
716	417.7044042
717	417.6742142
718	417.6020849
719	417.5823184
720	417.550212
721	417.5189148
722	417.5010532
723	417.4560237
724	417.4125509
725	417.3466428
726	417.3045638
727	417.2819797
728	417.2236372
729	417.1581892
730	417.1457502
731	417.0957598
732	417.0543085
733	417.0171205
734	416.9990659
735	416.9628661
736	416.9314026
737	416.9107857
738	416.8840473
739	416.8106585
740	416.7568257
741	416.7187636
742	416.6782121
743	416.6363097
744	416.5139058
745	416.4987819
746	416.4775006
747	416.4457005
748	416.4342434
749	416.4152305
750	416.3541193
751	416.2852069
752	416.2361591
753	416.2253117
754	416.1929189
755	416.1221202
756	416.0711189
757	416.0422853
758	415.9964238
759	415.9798452
760	415.832317
761	415.7848783
762	415.7390223
763	415.6914248
764	415.6073401
765	415.5912528
766	415.5534031
767	415.5029906
768	415.4172004
769	415.33897
770	415.3031203
771	415.2755405
772	415.2582216
773	415.2180381
774	415.1529529
775	415.1223884
776	415.042899
777	414.988574
778	414.9303037
779	414.9221795
780	414.8627181
781	414.8368406
782	414.7955265
783	414.6852961
784	414.6697256
785	414.5986026
786	414.568027
787	414.5003656
788	414.4649116
789	414.4476787
790	414.3151179
791	414.2903255
792	414.244141
793	414.1812443
794	414.1216692
795	414.03572
796	414.0034106
797	413.9624188
798	413.9147555
799	413.8236216
800	413.7981809
801	413.7567393
802	413.7096553
803	413.6933442
804	413.6742565
805	413.6538438
806	413.615234
807	413.5582551
808	413.4054976
809	413.3290271
810	413.249481
811	413.1987149
812	413.1545631
813	413.1328358
814	413.0958629
815	413.0383134
816	413.0172948
817	412.9825283
818	412.9416983
819	412.9079525
820	412.8768473
821	412.8432873
822	412.8209941
823	412.7809921
824	412.7532548
825	412.7350157
826	412.6878941
827	412.6704955
828	412.5246523
829	412.4865022
830	412.433525
831	412.3945283
832	412.3516768
833	412.3014046
834	412.256275
835	412.1970421
836	412.1653874
837	412.1439956
838	412.1217291
839	412.0874284
840	412.0285178
841	412.0038661
842	411.9254623
843	411.9064369
844	411.8374239
845	411.7885847
846	411.7554408
847	411.7199159
848	411.7008088
849	411.662964
850	411.6493956
851	411.618477
852	411.5973618
853	411.5506645
854	411.5307847
855	411.4702209
856	411.3997739
857	411.253553
858	411.2028807
859	411.1946662
860	411.1483537
861	411.121918
862	411.0753585
863	411.0366221
864	411.0064776
865	410.9966792
866	410.9665035
867	410.9481921
868	410.9390081
869	410.9121562
870	410.8577513
871	410.8330093
872	410.7955318
873	410.7451012
874	410.7268707
875	410.6995682
876	410.6710594
877	410.6213648
878	410.5717658
879	410.5299011
880	410.3908186
881	410.3418455
882	410.30235
883	410.2767957
884	410.2269206
885	410.205296
886	410.1793014
887	410.1568927
888	410.125648
889	410.0936946
890	410.0395919
891	409.9742145
892	409.939644
893	409.9184028
894	409.8836581
895	409.7519751
896	409.7343832
897	409.6815916
898	409.6652054
899	409.6196026
900	409.5875665
901	409.5446732
902	409.5241501
903	409.380968
904	409.3525859
905	409.2844816
906	409.2302866
907	409.2067858
908	409.1883698
909	409.1626051
910	409.1388296
911	409.0800628
912	409.067679
913	409.0348129
914	409.0160806
915	409.000599
916	408.9771557
917	408.9624133
918	408.8677166
919	408.8425282
920	408.8150658
921	408.6845047
922	408.6485434
923	408.6307983
924	408.6073418
925	408.5813928
926	408.5604759
927	408.5150194
928	408.4938204
929	408.4333546
930	408.391692
931	408.3512635
932	408.3274253
933	408.3134819
934	408.2342005
935	408.207388
936	408.1683171
937	408.1266745
938	408.0026963
939	407.9721267
940	407.9352564
941	407.9044618
942	407.7915738
943	407.7194037
944	407.680998
945	407.6510029
946	407.634283
947	407.522413
948	407.4915426
949	407.4613123
950	407.4030279
951	407.3899346
952	407.3555319
953	407.3434595
954	407.3148507
955	407.2703936
956	407.1640615
957	407.0481081
958	407.0274163
959	406.9642196
960	406.8551693
961	406.7360072
962	406.6927709
963	406.6771779
964	406.6484675
965	406.6254709
966	406.6069181
967	406.5177797
968	406.4951472
969	406.449889
970	406.4308908
971	406.4096474
972	406.38303
973	406.3334555
974	406.3176237
975	406.2707594
976	406.2323166
977	406.1950945
978	406.1580599
979	406.1279616
980	406.0235029
981	405.9914527
982	405.956482
983	405.916452
984	405.874666
985	405.8414584
986	405.817165
987	405.7535508
988	405.7138887
989	405.6937971
990	405.676545
991	405.6050043
992	405.5920579
993	405.5833339
994	405.5613803
995	405.5309964
996	405.5013772
997	405.4708436
998	405.4525291
999	405.4171376
