iter	Passed	Remaining
0	12	12005
1	21	10553
2	30	10273
3	40	10186
4	49	9755
5	56	9432
6	64	9173
7	72	8936
8	81	8995
9	90	8923
10	98	8873
11	106	8737
12	115	8740
13	123	8698
14	132	8672
15	139	8603
16	148	8588
17	156	8521
18	166	8587
19	174	8562
20	183	8551
21	191	8504
22	201	8570
23	211	8605
24	219	8549
25	227	8533
26	236	8530
27	244	8500
28	253	8491
29	262	8490
30	270	8443
31	277	8391
32	284	8350
33	291	8293
34	299	8246
35	306	8200
36	313	8155
37	319	8088
38	326	8041
39	333	7996
40	340	7965
41	348	7949
42	355	7904
43	363	7901
44	371	7892
45	380	7885
46	388	7883
47	397	7881
48	406	7895
49	416	7910
50	425	7919
51	435	7943
52	443	7929
53	452	7928
54	460	7918
55	468	7904
56	477	7897
57	485	7887
58	494	7889
59	502	7869
60	510	7856
61	519	7864
62	528	7866
63	536	7841
64	544	7826
65	551	7802
66	559	7792
67	566	7761
68	574	7748
69	581	7730
70	590	7727
71	598	7720
72	606	7707
73	615	7696
74	622	7678
75	629	7659
76	637	7644
77	645	7633
78	655	7645
79	664	7637
80	672	7626
81	680	7623
82	687	7596
83	695	7580
84	703	7568
85	710	7546
86	717	7529
87	725	7520
88	733	7505
89	741	7492
90	748	7478
91	758	7487
92	767	7482
93	775	7474
94	782	7457
95	789	7435
96	797	7425
97	804	7404
98	811	7385
99	818	7368
100	825	7345
101	830	7316
102	838	7305
103	846	7289
104	851	7262
105	859	7247
106	865	7224
107	873	7210
108	879	7193
109	887	7180
110	894	7161
111	900	7140
112	905	7106
113	912	7089
114	919	7073
115	925	7056
116	931	7031
117	938	7015
118	946	7005
119	953	6993
120	961	6982
121	968	6967
122	975	6952
123	982	6940
124	989	6926
125	996	6912
126	1003	6900
127	1011	6891
128	1016	6866
129	1024	6857
130	1033	6852
131	1041	6846
132	1048	6832
133	1054	6815
134	1061	6800
135	1067	6784
136	1074	6770
137	1081	6754
138	1088	6743
139	1096	6736
140	1103	6725
141	1111	6715
142	1118	6702
143	1126	6693
144	1132	6680
145	1140	6668
146	1147	6657
147	1155	6651
148	1162	6640
149	1169	6628
150	1178	6623
151	1185	6613
152	1192	6603
153	1200	6593
154	1208	6586
155	1215	6575
156	1223	6568
157	1231	6562
158	1238	6549
159	1245	6536
160	1252	6527
161	1260	6518
162	1267	6510
163	1274	6499
164	1283	6495
165	1291	6488
166	1298	6478
167	1305	6465
168	1312	6454
169	1320	6447
170	1326	6431
171	1335	6427
172	1341	6410
173	1347	6397
174	1355	6388
175	1362	6380
176	1370	6374
177	1378	6363
178	1385	6354
179	1393	6347
180	1401	6341
181	1408	6331
182	1415	6321
183	1422	6310
184	1430	6301
185	1437	6292
186	1444	6281
187	1452	6272
188	1459	6261
189	1465	6246
190	1472	6236
191	1479	6227
192	1487	6218
193	1493	6206
194	1501	6196
195	1508	6188
196	1515	6178
197	1523	6169
198	1528	6154
199	1535	6143
200	1543	6134
201	1550	6124
202	1557	6114
203	1564	6104
204	1571	6093
205	1577	6081
206	1584	6070
207	1591	6058
208	1598	6049
209	1605	6038
210	1612	6028
211	1619	6020
212	1626	6008
213	1633	5998
214	1639	5987
215	1647	5979
216	1653	5966
217	1660	5955
218	1667	5946
219	1674	5937
220	1681	5925
221	1688	5916
222	1694	5902
223	1701	5893
224	1707	5881
225	1714	5872
226	1721	5860
227	1726	5846
228	1733	5837
229	1739	5822
230	1744	5808
231	1751	5796
232	1757	5785
233	1764	5777
234	1771	5767
235	1779	5759
236	1785	5749
237	1792	5739
238	1798	5727
239	1805	5716
240	1812	5708
241	1819	5700
242	1828	5695
243	1835	5685
244	1842	5677
245	1848	5667
246	1856	5659
247	1862	5648
248	1869	5639
249	1876	5630
250	1883	5621
251	1890	5612
252	1896	5600
253	1903	5590
254	1909	5578
255	1916	5570
256	1923	5559
257	1929	5550
258	1935	5538
259	1942	5528
260	1948	5515
261	1954	5505
262	1961	5496
263	1968	5488
264	1975	5480
265	1982	5471
266	1989	5462
267	1997	5455
268	2004	5448
269	2010	5436
270	2019	5432
271	2027	5425
272	2034	5418
273	2041	5409
274	2048	5399
275	2054	5390
276	2061	5381
277	2069	5373
278	2076	5364
279	2082	5355
280	2089	5347
281	2096	5337
282	2103	5328
283	2110	5320
284	2115	5308
285	2122	5298
286	2129	5290
287	2136	5281
288	2142	5271
289	2148	5259
290	2155	5250
291	2160	5238
292	2167	5229
293	2173	5220
294	2181	5212
295	2187	5203
296	2195	5196
297	2202	5188
298	2210	5182
299	2217	5174
300	2224	5165
