iter	Passed	Remaining
0	5	5875
1	9	4756
2	13	4630
3	17	4350
4	21	4215
5	24	4087
6	28	4091
7	33	4151
8	38	4191
9	42	4255
10	47	4237
11	52	4326
12	56	4265
13	61	4306
14	64	4250
15	68	4198
16	71	4146
17	75	4114
18	78	4074
19	82	4031
20	85	4002
21	89	3974
22	92	3947
23	96	3920
24	99	3889
25	103	3868
26	106	3841
27	110	3820
28	113	3801
29	116	3781
30	120	3766
31	124	3751
32	127	3733
33	130	3714
34	134	3703
35	137	3689
36	141	3678
37	144	3665
38	148	3652
39	151	3643
40	155	3632
41	158	3621
42	162	3611
43	165	3602
44	169	3591
45	172	3583
46	176	3573
47	179	3566
48	183	3556
49	186	3547
50	190	3539
51	193	3529
52	197	3521
53	200	3511
54	204	3505
55	207	3496
56	210	3489
57	214	3482
58	217	3475
59	221	3468
60	224	3459
61	229	3472
62	233	3479
63	238	3482
64	243	3499
65	247	3503
66	252	3518
67	256	3509
68	259	3504
69	263	3496
70	268	3508
71	271	3502
72	275	3494
73	278	3487
74	282	3478
75	285	3470
76	288	3464
77	292	3457
78	295	3449
79	299	3444
80	302	3436
81	306	3428
82	309	3422
83	313	3414
84	316	3407
85	320	3401
86	323	3394
87	326	3388
88	330	3383
89	334	3377
90	337	3371
91	340	3364
92	344	3358
93	347	3353
94	351	3346
95	354	3340
96	358	3334
97	361	3329
98	365	3323
99	368	3316
100	371	3310
101	375	3305
102	378	3300
103	382	3293
104	385	3287
105	389	3282
106	392	3276
107	396	3272
108	399	3266
109	403	3261
110	406	3256
111	410	3250
112	413	3245
113	416	3239
114	420	3235
115	423	3230
116	429	3242
117	434	3245
118	438	3247
119	443	3249
120	448	3256
121	453	3262
122	457	3262
123	462	3269
124	466	3264
125	469	3259
126	473	3255
127	477	3255
128	481	3249
129	484	3243
130	488	3241
131	492	3235
132	495	3229
133	498	3224
134	502	3218
135	505	3213
136	509	3209
137	513	3206
138	516	3201
139	520	3196
140	523	3190
141	527	3185
142	530	3179
143	534	3176
144	537	3172
145	541	3167
146	544	3162
147	548	3157
148	552	3153
149	555	3149
150	559	3144
151	562	3138
152	566	3133
153	569	3128
154	573	3123
155	576	3118
156	579	3113
157	583	3108
158	586	3104
159	590	3099
160	594	3095
161	597	3092
162	601	3087
163	604	3082
164	608	3080
165	612	3076
166	615	3071
167	619	3067
168	623	3064
169	627	3064
170	631	3062
171	635	3060
172	639	3059
173	644	3060
174	650	3064
175	653	3060
176	657	3055
177	660	3050
178	664	3046
179	668	3044
180	671	3039
181	675	3034
182	678	3030
183	682	3026
184	685	3021
185	689	3016
186	692	3011
187	696	3007
188	699	3003
189	703	2998
190	706	2993
191	710	2988
192	713	2984
193	717	2980
194	720	2974
195	724	2970
196	727	2965
197	731	2961
198	734	2957
199	738	2952
200	741	2948
201	745	2945
202	749	2940
203	752	2936
204	755	2931
205	760	2929
206	763	2925
207	767	2921
208	770	2916
209	774	2912
210	777	2908
211	781	2903
212	784	2899
213	788	2895
214	791	2891
215	795	2887
216	798	2882
217	802	2877
218	805	2873
219	809	2869
220	812	2865
221	816	2860
222	820	2859
223	824	2857
224	828	2854
225	832	2851
226	837	2850
227	842	2851
228	845	2848
229	849	2843
230	852	2839
231	856	2835
232	859	2830
233	863	2826
234	866	2822
235	870	2817
236	874	2814
237	877	2810
238	881	2805
239	884	2800
240	888	2796
241	891	2792
242	895	2788
243	898	2784
244	901	2779
245	905	2775
246	909	2771
247	912	2766
248	915	2762
249	919	2758
250	922	2753
251	926	2750
252	930	2748
253	934	2745
254	938	2741
255	942	2738
256	945	2734
257	949	2729
258	952	2725
259	956	2721
260	959	2717
261	963	2712
262	966	2708
263	970	2704
264	973	2700
265	977	2696
266	980	2691
267	984	2687
268	987	2683
269	990	2679
270	994	2674
271	997	2670
272	1001	2666
273	1004	2662
274	1008	2657
275	1011	2653
276	1015	2650
277	1019	2648
278	1023	2645
279	1027	2643
280	1032	2640
281	1036	2639
282	1040	2636
283	1043	2632
284	1047	2627
285	1051	2624
286	1054	2620
287	1058	2616
288	1061	2612
289	1065	2608
290	1069	2604
291	1072	2600
292	1076	2596
293	1079	2592
294	1083	2588
295	1086	2584
296	1090	2580
297	1093	2576
298	1097	2572
299	1100	2568
300	1104	2564
301	1107	2560
302	1111	2556
303	1114	2551
304	1118	2548
305	1121	2544
306	1125	2540
307	1128	2535
308	1132	2531
309	1135	2528
310	1139	2524
311	1142	2520
312	1146	2516
313	1149	2512
314	1153	2508
315	1157	2504
316	1160	2500
317	1164	2496
318	1167	2492
319	1170	2488
320	1174	2484
321	1177	2479
322	1181	2475
323	1184	2471
324	1188	2467
325	1191	2463
326	1195	2461
327	1199	2457
328	1202	2453
329	1206	2449
330	1210	2447
331	1214	2444
332	1218	2441
333	1223	2438
334	1227	2435
335	1231	2433
336	1236	2432
337	1240	2428
338	1243	2424
339	1247	2420
340	1247	2411
341	1251	2407
342	1255	2404
343	1258	2400
344	1262	2396
345	1265	2392
346	1269	2388
347	1269	2379
348	1273	2375
349	1276	2371
350	1280	2367
351	1283	2363
352	1287	2359
353	1290	2355
354	1294	2351
355	1297	2347
356	1301	2343
357	1304	2339
358	1307	2335
359	1311	2331
360	1314	2327
361	1318	2323
362	1319	2315
363	1322	2311
364	1326	2307
365	1329	2303
366	1333	2299
367	1336	2295
368	1340	2291
369	1343	2287
370	1347	2283
371	1350	2280
372	1354	2276
373	1357	2272
374	1360	2268
375	1364	2264
376	1367	2260
