iter	Passed	Remaining
0	2	242
1	4	216
2	6	203
3	7	187
4	9	185
5	11	181
6	13	178
7	15	175
8	17	174
9	19	171
10	20	168
11	22	167
12	24	165
13	26	162
14	28	160
15	30	158
16	32	156
17	33	154
18	35	152
19	37	150
20	39	148
21	41	147
22	43	144
23	45	143
24	47	141
25	49	139
26	50	137
27	52	135
28	54	134
29	56	131
30	58	129
31	60	128
32	62	126
33	64	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	115
39	75	113
40	77	111
41	78	108
42	80	106
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	91	94
49	93	93
50	94	91
51	96	89
52	98	87
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	75
59	111	74
60	113	72
61	115	70
62	117	68
63	119	67
64	121	65
65	123	63
66	125	61
67	127	59
68	129	58
69	131	56
70	133	54
71	135	52
72	136	50
73	138	48
74	140	46
75	142	45
76	144	43
77	146	41
78	148	39
79	150	37
80	152	35
81	154	33
82	156	31
83	158	30
84	159	28
85	161	26
86	163	24
87	165	22
88	167	20
89	169	18
90	171	16
91	173	15
92	175	13
93	176	11
94	178	9
95	180	7
96	183	5
97	185	3
98	187	1
99	188	0
