iter	Passed	Remaining
0	13	13772
1	20	10065
2	26	8821
3	32	8186
4	39	7794
5	45	7528
6	51	7331
7	57	7173
8	64	7118
9	70	6987
10	76	6910
11	83	6840
12	90	6837
13	96	6822
14	102	6718
15	108	6676
16	114	6618
17	120	6568
18	126	6505
19	132	6476
20	137	6432
21	143	6399
22	149	6346
23	155	6320
24	161	6308
25	167	6286
26	173	6250
27	178	6213
28	184	6193
29	191	6178
30	197	6182
31	204	6191
32	212	6231
33	220	6260
34	227	6278
35	235	6294
36	243	6332
37	252	6396
38	259	6399
39	269	6464
40	276	6467
41	285	6510
42	291	6497
43	301	6542
44	308	6537
45	315	6548
46	322	6537
47	329	6535
48	337	6547
49	344	6553
50	352	6551
51	358	6528
52	366	6543
53	372	6532
54	380	6539
55	386	6506
56	391	6481
57	401	6517
58	406	6490
59	413	6482
60	419	6461
61	429	6494
62	434	6467
63	441	6453
64	447	6440
65	452	6407
66	460	6405
67	465	6375
68	470	6343
69	477	6346
70	483	6322
71	488	6295
72	495	6291
73	500	6265
74	507	6261
75	513	6238
76	518	6216
77	526	6219
78	531	6201
79	538	6191
80	544	6175
81	550	6158
82	558	6165
83	563	6142
84	568	6121
85	575	6112
86	580	6089
87	586	6075
88	591	6053
89	596	6030
90	601	6012
91	608	6006
92	615	5999
93	621	5993
94	629	5995
95	638	6014
96	644	6003
97	653	6012
98	661	6016
99	670	6035
100	676	6023
101	685	6037
102	692	6026
103	699	6024
104	706	6020
105	712	6009
106	721	6021
107	727	6011
108	737	6026
109	743	6016
110	752	6025
111	758	6012
112	766	6018
113	772	6004
114	778	5993
115	785	5985
116	790	5967
117	798	5967
118	804	5956
119	811	5953
120	818	5944
121	826	5950
122	834	5948
123	839	5931
124	847	5931
125	852	5912
126	857	5895
127	865	5895
128	870	5877
129	877	5869
130	883	5857
131	888	5839
132	895	5840
133	900	5822
134	907	5812
135	913	5804
136	918	5788
137	926	5789
138	932	5775
139	937	5757
140	945	5758
141	950	5742
142	956	5733
143	963	5726
144	968	5711
145	976	5711
146	981	5697
147	988	5688
148	993	5673
149	998	5660
150	1005	5651
151	1011	5641
152	1017	5633
153	1023	5621
154	1028	5606
155	1033	5593
156	1039	5583
157	1045	5569
158	1050	5554
159	1055	5539
160	1060	5526
161	1065	5511
162	1070	5497
163	1075	5482
164	1080	5468
165	1085	5454
166	1090	5441
167	1095	5426
168	1100	5412
169	1106	5399
170	1110	5386
171	1116	5372
172	1121	5362
173	1126	5349
174	1132	5337
175	1137	5323
176	1142	5311
177	1147	5298
178	1152	5287
179	1157	5274
180	1162	5262
181	1168	5250
182	1173	5237
183	1178	5225
184	1184	5216
185	1189	5206
186	1195	5197
187	1201	5190
188	1207	5181
189	1214	5176
190	1222	5176
191	1229	5175
192	1238	5179
193	1245	5176
194	1253	5174
195	1259	5167
196	1268	5171
197	1275	5166
198	1284	5168
199	1289	5157
200	1298	5161
201	1305	5157
202	1313	5158
203	1319	5147
204	1326	5143
205	1333	5138
206	1339	5130
207	1347	5129
208	1352	5119
209	1359	5115
210	1366	5108
211	1371	5099
212	1380	5099
213	1386	5091
214	1394	5091
215	1401	5085
216	1408	5081
217	1414	5075
218	1423	5076
219	1431	5074
220	1436	5063
221	1445	5064
222	1450	5055
223	1458	5053
224	1464	5044
225	1469	5034
226	1478	5035
227	1483	5024
228	1492	5023
229	1497	5014
230	1504	5007
231	1512	5005
232	1517	4994
233	1525	4992
234	1530	4982
235	1536	4975
236	1542	4965
237	1547	4954
238	1553	4946
239	1559	4937
240	1564	4928
241	1571	4923
242	1578	4915
243	1583	4905
244	1588	4895
245	1593	4885
246	1599	4876
247	1605	4868
248	1611	4861
249	1617	4852
250	1625	4849
251	1632	4845
252	1638	4838
253	1645	4831
254	1651	4824
255	1657	4816
256	1663	4809
257	1669	4802
258	1682	4814
259	1691	4815
260	1697	4805
261	1702	4796
262	1709	4789
263	1714	4779
264	1719	4769
265	1724	4758
266	1729	4748
267	1734	4737
268	1739	4726
269	1744	4716
270	1749	4706
271	1754	4695
272	1760	4688
273	1766	4681
274	1772	4673
275	1780	4671
276	1786	4663
277	1794	4659
278	1803	4659
279	1811	4659
280	1818	4653
281	1826	4650
282	1833	4646
283	1840	4639
284	1848	4638
285	1855	4631
286	1863	4629
287	1869	4621
288	1877	4620
289	1883	4612
290	1889	4604
291	1896	4599
292	1902	4589
293	1909	4585
294	1914	4575
295	1920	4566
296	1928	4564
297	1933	4554
298	1939	4547
299	1946	4540
300	1951	4531
301	1959	4527
302	1964	4518
303	1969	4508
304	1976	4503
305	1981	4493
306	1987	4487
307	1993	4479
308	1999	4470
309	2006	4466
310	2013	4459
311	2021	4458
312	2028	4452
313	2040	4458
314	2049	4455
315	2058	4456
316	2064	4448
317	2073	4447
318	2079	4440
319	2086	4434
320	2092	4427
321	2099	4420
322	2104	4411
323	2110	4402
324	2115	4393
